name,value,values
UniqueID,UniqueID,NA
ResponseID,ResponseID,NA
Year,Year,NA
Q1Gender_Final,Q1Gender_Final = Four categories of gender,Male; Female; Other / gender diverse; Prefer not to say
Q3Age_Final,Q3Age_Final = Final age for all YP,NA
Q2State,Q2State = State/territory they live in,NSW; VIC; QLD; SA; WA; TAS; NT; ACT
Q4Postcode,Q4Postcode = Postcode they live in,NA
OLDCountryofBirth,OLDCountryofBirth = Country they were born in,Australia; Other
Q43LOTE,Q43LOTE = Speak a language other than English at home,"Yes; No, English only"
Q42CultureGroup,Q42CultureGroup = Cultural or ethnic group that they strongly identify with,Yes; No
Q41ATSI_Final,Q41ATSI_Final = Two categories ATSI status,Non-Indigenous; Indigenous; Prefer not to answer
Q45DisabilityYS,Q45DisabilityYS = Identify as a person with disability,Yes; No; Prefer not to say
Q45aMHConditionv2,Q45aMHConditionv2 = Identify as a person with a mental health condition,Yes; No; Prefer not to say
Q25K6SUM_ABS,Q25K6SUM_ABS = K6 ABS categories,No probable serious mental illness; Probable serious mental illness
Q25K6SUM_AIFS,Q25K6SUM_AIFS = K6 AIFS categories,Low psychological distress (mental disorder unlikely); Moderate psychological distress (mental disorder possible); High psychological distress (mental disorder very likely)
Q19PWIY_whole,Q19PWIY_whole = Happy with whole life,NA
Q22Loneliness,"Q22Loneliness = Past four weeks, frequency of loneliness",All of the time; Most of the time; Some of the time; A little of the time; None of the time
Q20MHSelfPerceived,Q20MHSelfPerceived = Rating their mental health and wellbeing,Poor; Fair; Good; Very good; Excellent
Q21Control,Q21Control = Control felt over their life,No control; Almost no control; Some control; Mostly in control; Complete control
Q14Activities_1,Q14Activities_1 = Arts,Yes; No
Q14Activities_2,Q14Activities_2 = Environmental,Yes; No
Q14Activities_3,Q14Activities_3 = Political,Yes; No
Q14Activities_4,Q14Activities_4 = Religious,Yes; No
Q14Activities_5,Q14Activities_5 = SportsParticipant,Yes; No
Q14Activities_6,Q14Activities_6 = SportsSpectator,Yes; No
Q14Activities_7,Q14Activities_7 = Leadership,Yes; No
Q14Activities_8,Q14Activities_8 = Volunteer,Yes; No
Q14Activities_9,Q14Activities_9 = YouthGrps,Yes; No
Q31Hardto_1,Q31Hardto_1 = Do everyday activities as young people your age usually do,Yes; No
Q31Hardto_2,Q31Hardto_2 = Do things in public places with friends,Yes; No
Q31Hardto_3,Q31Hardto_3 = Fit in and socialise with everyone else,Yes; No
